time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.contacts
1970/01/01/01:00:32.016000,1521,32,16000000,,"[True, True, True, True]"
1970/01/01/01:00:32.036000,1522,32,36000000,,"[True, True, True, True]"
1970/01/01/01:00:32.057000,1523,32,56000000,,"[True, True, True, True]"
1970/01/01/01:00:32.076000,1524,32,76000000,,"[True, True, True, True]"
1970/01/01/01:00:32.096000,1525,32,96000000,,"[True, True, True, True]"
1970/01/01/01:00:32.116000,1526,32,116000000,,"[True, True, True, True]"
1970/01/01/01:00:32.137000,1527,32,136000000,,"[True, True, True, True]"
1970/01/01/01:00:32.159000,1528,32,159000000,,"[True, True, True, True]"
1970/01/01/01:00:32.177000,1529,32,177000000,,"[True, True, True, True]"
1970/01/01/01:00:32.196000,1530,32,197000000,,"[True, True, True, True]"
1970/01/01/01:00:32.216000,1531,32,216000000,,"[True, True, True, True]"
1970/01/01/01:00:32.236000,1532,32,236000000,,"[True, True, True, True]"
1970/01/01/01:00:32.256000,1533,32,256000000,,"[True, True, True, True]"
1970/01/01/01:00:32.276000,1534,32,276000000,,"[True, True, True, True]"
1970/01/01/01:00:32.295000,1535,32,296000000,,"[True, True, True, True]"
1970/01/01/01:00:32.316000,1536,32,316000000,,"[True, True, True, True]"
1970/01/01/01:00:32.336000,1537,32,336000000,,"[True, True, True, True]"
1970/01/01/01:00:32.356000,1538,32,356000000,,"[True, True, True, True]"
1970/01/01/01:00:32.376000,1539,32,376000000,,"[True, True, True, True]"
1970/01/01/01:00:32.392000,1540,32,396000000,,"[True, True, True, True]"
1970/01/01/01:00:32.415000,1541,32,416000000,,"[True, True, True, True]"
1970/01/01/01:00:32.437000,1542,32,437000000,,"[True, True, True, True]"
1970/01/01/01:00:32.457000,1543,32,457000000,,"[True, True, True, True]"
1970/01/01/01:00:32.476000,1544,32,476000000,,"[True, True, True, True]"
1970/01/01/01:00:32.496000,1545,32,496000000,,"[True, True, True, True]"
1970/01/01/01:00:32.516000,1546,32,516000000,,"[True, True, True, True]"
1970/01/01/01:00:32.536000,1547,32,536000000,,"[True, True, True, True]"
1970/01/01/01:00:32.556000,1548,32,556000000,,"[True, True, True, True]"
1970/01/01/01:00:32.577000,1549,32,577000000,,"[True, True, True, True]"
1970/01/01/01:00:32.596000,1550,32,596000000,,"[True, True, True, True]"
1970/01/01/01:00:32.616000,1551,32,616000000,,"[True, True, True, True]"
1970/01/01/01:00:32.636000,1552,32,636000000,,"[True, True, True, True]"
1970/01/01/01:00:32.656000,1553,32,656000000,,"[True, True, True, True]"
