time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
1970/01/01/01:00:06.594000,647,6,540000000,base,-0.000695972079876,-0.00601059844337,0.00876530940854,0.999943277231,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",-0.00641284492516,-0.00680783610769,-0.00346108640169,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.122053330267,-0.00861798634919,9.79295796485,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.594000,648,6,550000000,base,-0.000695965077782,-0.00601059437567,0.00876524407785,0.999943277833,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",-0.00363857591816,-0.00352086413273,-0.00976799454025,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.121740889498,-0.0116194926572,9.80206538997,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.594000,649,6,560000000,base,-0.000695933750985,-0.00601069430365,0.00876517841944,0.99994327783,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",-0.00616493562965,-0.00521366969671,-0.00808299806729,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.112388059647,-0.016798978223,9.79514987346,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.594000,650,6,570000000,base,-0.000695876535293,-0.00601075242284,0.00876511256089,0.999943278098,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.00734148162107,0.00187537131212,-0.0101812966199,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.117856538965,-0.00513208810747,9.80376055332,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.594000,651,6,580000000,base,-0.000695859541038,-0.00601078059638,0.00876504686086,0.999943278516,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",-0.000892702620561,-0.00377330526455,-0.00978402324505,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.114571003692,-0.0135688334133,9.8013220159,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.594000,652,6,590000000,base,-0.000695902633507,-0.006010857009,0.00876498135969,0.999943278601,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.000751461320004,0.000658269635375,-0.0115072760371,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.115182998592,-0.0171589360724,9.79923784056,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.600000,653,6,600000000,base,-0.000695919006856,-0.00601088679813,0.00876491566377,0.999943278986,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.00241672815866,-0.0110405123353,-0.011074976772,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.123290298273,-0.0166534784502,9.79610641908,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.610000,654,6,610000000,base,-0.00069584550231,-0.00601092105569,0.00876484937651,0.999943279413,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.00457156543465,-0.00473214922738,-0.0177941820009,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.118511747334,-0.0149344812038,9.79944337611,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.620000,655,6,620000000,base,-0.000695856662745,-0.00601098973169,0.00876478344284,0.99994327957,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.000316181518835,-0.00127835887321,-0.0107103004249,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.121052562637,-0.0153994011642,9.798622105,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
1970/01/01/01:00:06.634000,656,6,630000000,base,-0.000695957828145,-0.00601112736341,0.00876471786234,0.999943279247,"(2.6030820491461885e-07, 0.0, 0.0, 0.0, 2.6030820491461885e-07, 0.0, 0.0, 0.0, 0.0)",0.00337138452253,-0.00852383496796,-0.00578417105955,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)",0.119657924704,-0.00849164742483,9.80531201772,"(2.5e-05, 0.0, 0.0, 0.0, 2.5e-05, 0.0, 0.0, 0.0, 2.5e-05)"
