time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
1970/01/01/01:00:07.013000,345,7,13000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003810148493, -0.0006808289751409902, 1.0610672297531485, -2.119157740226326, 0.002535067725734308, 1.0600006349663609, -2.1419859439149747, 0.00045896310728821277, 1.0305751343536826, -2.1391757672157965, -0.0011831779911224416, 1.0341495439416262)","(0.12588734902739954, 0.0011065669914717376, -0.06602258056082777, 0.11442137255508981, -0.0007421498919024283, -0.0598621406242245, 0.14902712364143378, 0.0013522196123739532, -0.07348039982362367, 0.14375719832580486, -0.000789950343929658, -0.07144967922514854)","(4.034232367434402, 0.11594429358300479, -2.1004014573199368, 3.770735690949147, -0.45188799367339666, -1.9453771991872808, 7.6721777218162766, -0.09068340991366299, 3.432922541228994, 7.197965436499997, 0.2176741262427143, 2.7773446493027003)"
1970/01/01/01:00:07.033000,346,7,33000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003854369209, -0.0006773023823898328, 1.0610672213828272, -2.119157778296433, 0.002531548493703184, 1.0600006087463285, -2.1419859939945436, 0.000463475274170122, 1.030575114741124, -2.1391758303043567, -0.0011876945858739774, 1.0341495473688243)","(0.12588720087630048, 0.00110614314399847, -0.06602247997994039, 0.11442120221878344, -0.0007417667195885218, -0.059862055066329536, 0.1490268951604975, 0.0013515331875162558, -0.07348025659928498, 0.14375725554764562, -0.0007893536385954604, -0.07144971073647163)","(4.03424121832812, 0.11531203657023666, -2.1004005527922325, 3.770743564104508, -0.45125682133054235, -1.9453729940125577, 7.672188107523904, -0.09149148661443474, 3.432925214531708, 7.197976449584123, 0.21848354198674647, 2.777344219009225)"
1970/01/01/01:00:07.053000,347,7,53000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003898307447, -0.0006737772904550354, 1.0610672131543124, -2.1191578165666733, 0.002528030327576758, 1.0600005824171035, -2.1419860440485223, 0.00046798679772486196, 1.0305750954178379, -2.139175893311542, -0.001192210210491318, 1.0341495504991052)","(0.12588705169294534, 0.0011057197269879007, -0.06602237918098332, 0.11442103303033963, -0.0007413834009682126, -0.05986196980200151, 0.14902666759123637, 0.0013508482023558486, -0.07348011419484062, 0.14375731189267602, -0.0007887559697144419, -0.07144974145787589)","(4.034250024520733, 0.11468004716707296, -2.100399675123676, 3.7707514664440525, -0.4506258416792261, -1.9453687673962317, 7.672198483162413, -0.09229945643249936, 3.432927840625661, 7.1979874532726, 0.2192927775140759, 2.7773438374791244)"
1970/01/01/01:00:07.073000,348,7,73000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121003941969728, -0.0006702536941221027, 1.061067205065096, -2.1191578550305845, 0.00252451323301095, 1.0600005559812278, -2.1419860940751505, 0.00047249764921364346, 1.030575076376719, -2.1391759562390433, -0.001196724842935204, 1.0341495533395504)","(0.12588690151351106, 0.0011052967301223905, -0.06602227817033506, 0.114420864953848, -0.0007409999461858442, -0.059861884825426315, 0.14902644090642758, 0.0013501646088330726, -0.07347997258279913, 0.14375736738734057, -0.000788157384499016, -0.07144977141695663)","(4.034258786970222, 0.114048324494358, -2.1003988238227254, 3.770759397020178, -0.44999505567900766, -1.9453645198333174, 7.672208848579683, -0.09310731389685004, 3.4329304206317737, 7.197998447713759, 0.2201018291320056, 2.7773435035992535)"
1970/01/01/01:00:07.093000,349,7,93000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210039853622904, -0.0006667315884181235, 1.061067197112771, -2.119157893681974, 0.0025209972154502935, 1.0600005294411368, -2.1419861440727512, 0.00047700780103099305, 1.030575057610946, -2.139176019088495, -0.0012012384620456729, 1.034149555896951)","(0.12588675037256786, 0.0011048741440463404, -0.0660221769542957, 0.11442069795462728, -0.0007406163647300939, -0.059861800130582975, 0.14902621507999486, 0.0013494823616196417, -0.07347983173703924, 0.1437574220566535, -0.0007875579275025656, -0.07144980063962211)","(4.034267506595265, 0.11341686771147402, -2.100397998417391, 3.7707673549219702, -0.4493644642540333, -1.9453602517978252, 7.672219203628978, -0.09391505375507006, 3.432932955620191, 7.198009433050247, 0.22091069329377788, 2.7773432163023193)"
1970/01/01/01:00:07.113000,350,7,113000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210040284911296, -0.0006632109685966725, 1.0610671892950192, -2.1191579325149004, 0.0025174822801439234, 1.0600005027991592, -2.1419861940397205, 0.00048151722665057406, 1.0305750391139803, -2.139176081861473, -0.0012057510475189659, 1.0341495581778206)","(0.12588659830287105, 0.0011044519593591219, -0.06602207553879402, 0.11442053199959673, -0.0007402326658031115, -0.059861715711809295, 0.14902599008675377, 0.0013488014173795202, -0.07347969163248876, 0.14375747592485116, -0.0007869576413983985, -0.07144982915118081)","(4.0342761842787676, 0.1127856760171539, -2.100397198454826, 3.7707753392790915, -0.4487340682963509, -1.9453559637432867, 7.672229548171779, -0.09472267096258392, 3.4329354466203332, 7.198020409422133, 0.22171936659202787, 2.777342974561982)"
1970/01/01/01:00:07.137000,351,7,133000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.121004071361983, -0.000659691830129816, 1.0610671816096149, -2.1191579715236717, 0.0025139684321455746, 1.0600004760575334, -2.14198624397452, 0.0004860259005781131, 1.0305750208795406, -2.1391761445594906, -0.0012102625798489086, 1.0341495601884079)","(0.1258864453360446, 0.0011040301677563463, -0.06602197392942297, 0.11442036705692187, -0.0007398488578050023, -0.05986163156360309, 0.14902576590312622, 0.0013481217350243193, -0.0734795522453898, 0.14375752901533972, -0.0007863565665098143, -0.07144985697513445)","(4.034284820866669, 0.11215474864596438, -2.100396423498676, 3.770783349253774, -0.44810386866655033, -1.945351656108421, 7.67223988207251, -0.0955301606743425, 3.432937894621121, 7.1980313769605635, 0.22252784575285198, 2.7773427773975423)"
1970/01/01/01:00:07.153000,352,7,153000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.12100411398037, -0.0006561741687001188, 1.0610671740544158, -2.119158010702826, 0.0025104556763384522, 1.0600004492184016, -2.141986293875682, 0.0004905337982998859, 1.0305750029016032, -2.139176207184004, -0.0012147730402949364, 1.034149561934714)","(0.12588629150240652, 0.001103608760975209, -0.06602187213167132, 0.11442020309655626, -0.0007394649489146288, -0.05986154768049695, 0.14902554250619782, 0.0013474432753588343, -0.07347941355259292, 0.14375758135046152, -0.0007857547414593716, -0.0714498841347401)","(4.034293417171131, 0.11152408486840387, -2.1003956731306817, 3.7707913840434286, -0.44747386619521, -1.945347329311027, 7.672250205204666, -0.09633751823227647, 3.4329403005719428, 7.198042335793222, 0.2233361276274507, 2.777342623862315)"
1970/01/01/01:00:07.173000,353,7,173000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210041563515754, -0.0006526579801882093, 1.0610671666273648, -2.1191580500471208, 0.002506944017435231, 1.0600004222838262, -2.141986343741797, 0.0004950408962356434, 1.030574985174379, -2.1391762697364154, -0.0012192824108465672, 1.0341495634224973)","(0.1258861368307732, 0.0011031877313255024, -0.0660217701506915, 0.1144200400893101, -0.0007390809468273107, -0.059861464057290086, 0.14902531987415063, 0.0013467660010343591, -0.07347927553245245, 0.14375763295182978, -0.0007851522029597092, -0.07144991065163873)","(4.034301973974522, 0.11089368398690377, -2.100394946948814, 3.7707994428772205, -0.44684406168587315, -1.9453429837537337, 7.672260517445418, -0.09714473916086926, 3.432942665384081, 7.198053286046383, 0.2241442091888417, 2.7773425130495757)"
1970/01/01/01:00:07.193000,354,7,193000000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']","(-2.1210041984806844, -0.0006491432606692271, 1.061067159326483, -2.1191580895515223, 0.0025034334599798314, 1.0600003952557842, -2.1419863935715107, 0.0004995471717030853, 1.0305749676923188, -2.139176332218076, -0.0012237906741843219, 1.034149564657291)","(0.12588598134864215, 0.0011027670715322861, -0.06602166799141206, 0.11441987800738929, -0.00073869685883839, -0.059861380688822755, 0.1490250979859612, 0.0013460898764990552, -0.07347913816358025, 0.14375768384000887, -0.0007845489859247753, -0.07144993654657374)","(4.034310492024625, 0.11026354533734165, -2.1003942445653005, 3.770807525015129, -0.44621445591554426, -1.9453386198253522, 7.672270818676096, -0.09795181915466919, 3.4329449899340174, 7.1980642278349976, 0.224952087523723, 2.777342444086861)"
